feature_names,importance
not_built,0.000797515219434
now,0.000787370899154
product,0.000785587722188
non,0.000780079246479
support,0.000774472074427
virtualbox,0.000764260440026
tri,0.000759466704164
not_think,0.00075096604808
flowabl,0.000750507075537
worth,0.000739900054895
compon,0.000734180492971
cap,0.000726739924062
1,0.000725723645727
sampl,0.000719472164477
someth,0.000712781512628
show,0.000696512190776
actual,0.000693759842788
d,0.000689383688073
restart,0.000681919211133
not_add,0.000680575324694
ll,0.000679132696311
about,0.000660676528599
up,0.000655191003307
ship,0.000654080870806
execut,0.00064745798288
connect,0.000626829285583
alia,0.000626655201233
drive,0.000618841334852
in,0.000618705895756
oop,0.000617318294377
should,0.000600817057138
correct,0.000593798707491
welcom,0.000591341585722
relat,0.00058980167636
have,0.000589174455088
feel,0.000584727161921
local,0.000552846398456
ref,0.000552497918676
3,0.00054633961504
not_,0.000543095287096
under,0.000540524270289
let,0.000540425675649
not_abl,0.000531918545158
ve,0.000516827035348
leehambley,0.000507353338928
other,0.000506540969774
licit,0.000501411120098
assum,0.00050088277115
stage,0.000497432458802
line,0.000482059863893
been,0.000480774964762
know,0.000480138221331
kind,0.000477216875169
fix,0.000474457030824
not_how,0.000458468894028
r,0.000452757505212
return,0.000452343647341
type,0.000452290735459
not_real,0.000451279483642
instal,0.000448863007056
lot,0.000433169966731
bug,0.000425451597732
then,0.000414449749908
recent,0.000410957397404
same,0.000409631315001
file,0.000405453200502
resolv,0.000404159365294
if,0.000403237952615
generat,0.00040283666578
ignor,0.000400886624661
load,0.000397682705676
9,0.000394466287431
found,0.000386532742415
retri,0.00038242611265
not_could,0.000380334742482
thread,0.000377257273777
not_actu,0.000376078159159
much,0.00037577394586
done,0.000373435750817
want,0.000371490810949
part,0.000370855744088
key,0.000368714933637
not_wel,0.000367415277444
not_now,0.000366906071266
not_singl,0.000361604741899
mount,0.000359440430288
keep,0.00035295454888
4,0.000349605766598
insid,0.000349239312189
properti,0.000348400107986
user,0.000333832747045
mod,0.000332780907753
believ,0.000331132608181
ani,0.000330800466016
15,0.000327542615616
contain,0.000325694664923
corrupt,0.000325681810736
mean,0.000321675072028
bootstrap,0.00031691087062
way,0.000314047298593
edit,0.000307199346912
sensit,0.000306938365735
not_remov,0.000302441453407
dictionari,0.000298185265155
featur,0.000290014056155
such,0.000288892892554
sourc,0.000285666499153
wrong,0.00028377265183
mattbrictson,0.000276176846072
suck,0.000275851097275
caus,0.000273000353674
dev,0.000272370123494
sometim,0.000270458219081
plugin,0.000269872496586
project,0.00026862556245
own,0.000264205724766
extens,0.000262309204027
ort,0.000258385094306
where,0.000254179307891
myself,0.000250374890937
vs,0.000249266552003
increa,0.000246758160521
crazi,0.000246681055507
us,0.000244829220785
while,0.000244286906889
unabl,0.000242247467116
not_mani,0.000240666256355
21,0.000239693033924
u,0.000230386102954
context,0.000227556034281
area,0.000224096534134
current,0.000222546855233
config,0.000219144980216
see,0.000218557148034
question,0.000217409632091
new,0.000215062720156
cpu,0.00021137108136
includ,0.000207438516856
add,0.000205839108678
home,0.000204922855349
